,epoch,conf_accuracy,conf_loss,loc_accuracy,loc_loss,loss,lr,val_conf_accuracy,val_conf_loss,val_loc_accuracy,val_loc_loss,val_loss
0,0,0.957275808,7.463241577,0.095845148,1.398722053,12.06085968,0.0001,0.992926419,4.731838608,0.110092789,0.930708075,7.270030022
1,1,0.992636204,4.918518066,0.10906446,0.948471904,7.211220741,0.0001,0.992937148,3.982194328,0.125235036,0.800028348,5.874390602
2,2,0.992791057,4.383244514,0.120880358,0.774036407,6.189714909,0.0001,0.992967725,3.8253478050000003,0.126675308,0.83515861,5.561713696
3,3,0.993108213,3.91733098,0.123416089,0.666905403,5.482936382,0.0001,0.993027627,3.773028755,0.129666358,0.8644255639999999,5.446907997
4,4,0.993503869,3.485941648,0.125311881,0.586486459,4.903123379,0.0001,0.993119121,3.3339113240000002,0.141338676,0.724743867,4.820792675
5,5,0.993919551,3.107965231,0.125793576,0.538717031,4.442238808,0.0001,0.993234038,3.3557847979999997,0.123765208,0.7421908620000001,4.834431648
6,6,0.994320631,2.777969599,0.125485525,0.499838948,4.053064823,0.0001,0.993332863,3.048821831,0.146196783,0.6741624119999999,4.444909096
7,7,0.994687974,2.496863365,0.127953604,0.467587739,3.727345467,0.0001,0.993394017,2.9981917379999996,0.126361877,0.6587770220000001,4.369986534
8,8,0.995024145,2.258338451,0.127657428,0.439690381,3.454605818,0.0001,0.993479192,2.7056998249999995,0.120335758,0.544517362,3.958995819
9,9,0.995340288,2.030627489,0.128987908,0.414151907,3.197281361,0.0001,0.993674457,2.4913534159999995,0.119760409,0.534970546,3.732434273
10,10,0.99559325,1.847087502,0.127625182,0.394517154,2.991834164,0.0001,0.993620813,2.4516462329999995,0.120395079,0.513048673,3.668165684
11,11,0.995818675,1.689331055,0.126764238,0.375799447,2.812909365,0.0001,0.993814588,2.4405087469999995,0.128502741,0.534303212,3.6756696700000004
12,12,0.996017098,1.55355525,0.126113877,0.355959088,2.65377593,0.0001,0.993775308,2.5044645309999995,0.133359,0.552574778,3.7548255920000004
13,13,0.996173024,1.446898937,0.128857404,0.341277122,2.527992487,0.0001,0.993972778,2.329801226,0.124631681,0.586549664,3.608810902
14,14,0.996317029,1.352698922,0.129577309,0.327829778,2.415121794,0.0001,0.994018555,2.304409885,0.122197263,0.44175615300000004,3.4335331919999996
15,15,0.996470451,1.266777158,0.130048454,0.313759625,2.309322357,0.0001,0.994157195,2.095973635,0.111005671,0.45717712600000004,3.2340121269999997
16,16,0.996596873,1.194528818,0.128403723,0.303091019,2.219980717,0.0001,0.994299889,1.9662519929999998,0.112926051,0.377493525,3.01829052
17,17,0.996695757,1.136313915,0.131725967,0.292917371,2.145570993,0.0001,0.994351745,1.97757616,0.131019443,0.3875893,3.033660889
18,18,0.996811152,1.085209489,0.129541621,0.284746855,2.080642223,0.0001,0.994327009,2.013106251,0.11991179,0.40586605100000006,3.082279205
19,19,0.996890485,1.038699746,0.133808747,0.276764452,2.020698786,0.0001,0.994439721,1.6543365959999998,0.119016297,0.34483858300000003,2.6572556499999997
20,20,0.996974885,0.995549917,0.135511369,0.269234836,1.964714646,0.0001,0.994390368,1.927852535,0.117144309,0.386875713,2.967402935
21,21,0.997039676,0.958320618,0.134977832,0.264163196,1.916640878,0.0001,0.994512379,1.6288038729999998,0.134454384,0.31020709300000004,2.5863685609999996
22,22,0.997139573,0.915790498,0.135893092,0.254846543,1.859037757,0.0001,0.994554996,1.893739128,0.120628484,0.3552592640000001,2.8890690799999996
23,23,0.99720329,0.882790804,0.136461318,0.248110369,1.812260151,0.0001,0.994470656,1.991062307,0.118144453,0.350955927,2.9762039180000004
24,24,0.997264862,0.854536772,0.137845099,0.243239805,1.773715019,0.0001,0.994668603,1.690802717,0.135547161,0.347835684,2.6678957939999997
25,25,0.997306764,0.829440475,0.137075856,0.239774525,1.739421368,0.0001,0.994610846,1.7750462529999997,0.130369112,0.313186371,2.7111792560000003
26,26,0.997356951,0.8211115,0.141465425,0.235156059,1.72202611,0.0001,0.994647861,1.5896162029999998,0.113410302,0.266065443,2.4746131900000004
27,27,0.997431993,0.785458982,0.138949081,0.228990838,1.674449801,0.0001,0.994743168,1.4607104299999998,0.132415548,0.25093671100000003,2.3238806719999996
28,28,0.997471631,0.767728567,0.14182964,0.225852981,1.648638487,0.0001,0.994572222,2.041285419,0.136870205,0.363492692,3.012435913
29,29,0.997507811,0.75682205,0.14125365,0.221674725,1.628997207,0.0001,0.994720876,1.515172863,0.140398175,0.280510807,2.4000139239999996
30,30,0.997557461,0.732746303,0.141766831,0.216175318,1.595454097,0.0001,0.994698703,1.843071604,0.138947472,0.339068496,2.782193661
31,31,0.99759078,0.721127987,0.1418726,0.213780656,1.577826738,0.0001,0.994770646,1.7004741669999999,0.122239068,0.318646753,2.615184307
32,32,0.997626662,0.705868721,0.143114954,0.211211279,1.555400491,0.0001,0.994846046,1.5198661329999998,0.152833283,0.26636859200000007,2.377752781
33,33,0.997651517,0.697661996,0.145197749,0.209772706,1.54226768,0.0001,0.994813979,1.65194478,0.143037796,0.299264157,2.5399298669999997
34,34,0.997689426,0.678128242,0.145715222,0.206568018,1.516267776,0.0001,0.994809866,1.6800517079999997,0.149018407,0.322801256,2.5878944400000004
35,35,0.99774754,0.663413227,0.145723626,0.20185788,1.493098497,0.0001,0.994890451,1.6004396919999997,0.138513595,0.26456769700000005,2.446239471
36,36,0.997761726,0.662568986,0.145784661,0.201793671,1.489778638,0.0001,0.994926929,1.4416848660000001,0.136750147,0.241728508,2.262096882
37,37,0.997784317,0.646244705,0.148135975,0.198415622,1.46669662,0.0001,0.994887173,1.5312489509999998,0.147980794,0.26817872500000006,2.375097275
38,38,0.997858047,0.619135261,0.146147057,0.193046153,1.429821491,0.0001,0.994827867,1.828456068,0.147149548,0.367633843,2.766884804
39,39,0.997869432,0.616138935,0.147611171,0.191958696,1.422042489,0.0001,0.994886339,1.4143504139999998,0.139592811,0.23261406400000006,2.2140355109999996
40,40,0.99791348,0.603173316,0.146604821,0.187693983,1.403223634,8e-05,0.994993091,1.3621493820000001,0.134910583,0.253201687,2.1810455319999997
41,41,0.997996807,0.568587244,0.14696382,0.18091394,1.360021472,8e-05,0.995060563,1.2869671819999997,0.136175573,0.21453436599999998,2.0651230810000003
42,42,0.998042107,0.553110301,0.147995517,0.178351924,1.339637876,8e-05,0.995036721,1.4587368009999997,0.140781671,0.23883118599999997,2.258850098
43,43,0.998057842,0.545885444,0.147249013,0.177399039,1.328769803,8e-05,0.995094895,1.3833157059999999,0.146160334,0.23658170700000003,2.1780247690000003
44,44,0.998079538,0.540319681,0.148678586,0.176080629,1.319046378,8e-05,0.99506551,1.4136444569999997,0.141895741,0.21378781800000002,2.183376312
45,45,0.998116016,0.529621124,0.149148077,0.172578394,1.302569747,8e-05,0.995072424,1.479651594,0.148983881,0.25198897100000006,2.285676479
46,46,0.998125494,0.526531935,0.148796827,0.172626153,1.297377944,8e-05,0.995211303,1.287652397,0.139104217,0.19348564099999999,2.0318002699999997
47,47,0.998153567,0.511963248,0.151763797,0.169414893,1.276429534,8e-05,0.995067835,1.4941107269999998,0.142969847,0.269540989,2.311295509
48,48,0.99817735,0.506322682,0.149543107,0.168828771,1.267475963,8e-05,0.995099723,1.4145921709999998,0.125984386,0.24361296900000007,2.2033157350000003
49,49,0.99821353,0.494339228,0.150727868,0.16585274,1.249652028,8e-05,0.995130479,1.4654096599999997,0.145364061,0.21746769,2.225326538
50,50,0.998210788,0.496119499,0.150445521,0.165279672,1.248955846,8e-05,0.995011568,1.589791441,0.155570328,0.25623818600000003,2.387153625
51,51,0.998231232,0.488714278,0.149443075,0.164620623,1.239067674,8e-05,0.995148599,1.377850199,0.158473983,0.20967104400000003,2.1257619859999997
