               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071087,            0.027704,            0.093613,           0.0054407,              0.8732,            0.030587,            0.016254,            0.045676,            0.010756,            0.089009,            0.070252,           0.0033053,           0.0033053
                   1,            0.047682,            0.024526,             0.08743,             0.55851,            0.067993,            0.099019,            0.052076,            0.040423,           0.0085356,            0.081368,            0.040208,           0.0065948,           0.0065948
                   2,            0.044614,            0.021855,            0.074394,              0.3813,              0.3661,             0.35657,             0.17505,            0.041919,           0.0081748,            0.056206,             0.01012,           0.0098404,           0.0098404
                   3,            0.043537,            0.020731,            0.049976,             0.63143,             0.59466,             0.62152,             0.33524,            0.040509,           0.0082956,            0.035875,            0.009802,            0.009802,            0.009802
                   4,            0.041555,            0.020201,            0.034766,             0.81522,             0.75513,             0.81549,             0.46551,            0.038013,           0.0076442,            0.019383,            0.009802,            0.009802,            0.009802
                   5,             0.04062,            0.019773,            0.027318,             0.84045,             0.76448,             0.84039,             0.46769,             0.03716,           0.0078187,            0.016733,            0.009736,            0.009736,            0.009736
                   6,            0.039466,            0.019606,             0.02343,             0.84707,             0.81156,             0.87844,             0.49622,            0.037325,           0.0076413,            0.013074,             0.00967,             0.00967,             0.00967
                   7,            0.038617,            0.019527,            0.021752,             0.88353,             0.85211,             0.90191,             0.53717,            0.036899,            0.007275,            0.011427,            0.009604,            0.009604,            0.009604
                   8,            0.037953,            0.019251,            0.019939,             0.88174,             0.86943,             0.90632,             0.54537,            0.035424,           0.0070498,           0.0087349,            0.009538,            0.009538,            0.009538
                   9,            0.037225,            0.019051,             0.01887,             0.87635,             0.83641,             0.89292,             0.52665,            0.035517,           0.0072489,            0.010449,            0.009472,            0.009472,            0.009472
                  10,             0.03685,            0.018934,            0.018324,             0.89436,              0.8686,             0.91741,             0.55876,            0.034012,            0.006997,           0.0080291,            0.009406,            0.009406,            0.009406
                  11,            0.036606,            0.018823,            0.016979,             0.90963,             0.88658,             0.92765,             0.58028,            0.032631,           0.0069548,           0.0069818,             0.00934,             0.00934,             0.00934
                  12,            0.036101,            0.018755,            0.016475,             0.89966,             0.84253,              0.9025,             0.54581,            0.034226,           0.0072696,           0.0089957,            0.009274,            0.009274,            0.009274
                  13,            0.035995,            0.018688,            0.015967,             0.89083,             0.84764,             0.90725,             0.55102,            0.033339,           0.0071432,            0.007944,            0.009208,            0.009208,            0.009208
                  14,            0.035595,            0.018529,            0.015587,             0.90946,             0.89395,             0.93375,               0.585,            0.032842,           0.0068167,           0.0061667,            0.009142,            0.009142,            0.009142
                  15,            0.035478,            0.018578,            0.015169,             0.91325,              0.8999,             0.94396,             0.60624,            0.031803,           0.0067847,           0.0055644,            0.009076,            0.009076,            0.009076
                  16,            0.034922,            0.018372,            0.014603,              0.9105,             0.90268,             0.93601,             0.60283,            0.031242,           0.0066593,           0.0053147,             0.00901,             0.00901,             0.00901
                  17,            0.034905,            0.018376,            0.014465,               0.914,             0.89829,             0.93262,              0.5983,             0.03149,           0.0068356,           0.0060128,            0.008944,            0.008944,            0.008944
                  18,            0.034471,             0.01843,            0.013811,             0.91162,             0.90189,             0.93854,             0.60271,            0.030854,           0.0068504,           0.0051257,            0.008878,            0.008878,            0.008878
                  19,            0.034282,            0.018311,            0.013812,             0.91239,             0.89964,             0.94274,             0.60729,            0.030408,           0.0067094,           0.0050937,            0.008812,            0.008812,            0.008812
                  20,            0.033963,            0.017841,            0.013571,             0.91377,             0.91404,             0.94504,             0.61774,             0.03041,           0.0067351,           0.0051201,            0.008746,            0.008746,            0.008746
                  21,            0.034005,              0.0181,            0.013289,             0.91117,             0.92415,             0.95124,             0.63075,            0.029284,           0.0065262,           0.0043973,             0.00868,             0.00868,             0.00868
                  22,            0.033771,            0.018013,            0.012852,             0.90876,             0.91266,              0.9449,             0.61868,            0.029866,           0.0066041,           0.0044035,            0.008614,            0.008614,            0.008614
                  23,            0.033471,            0.017846,            0.012518,             0.92884,             0.91849,             0.95306,             0.63201,            0.028647,           0.0064967,           0.0043064,            0.008548,            0.008548,            0.008548
                  24,            0.033205,            0.017932,            0.012307,             0.91784,             0.91463,              0.9436,              0.6228,            0.029465,           0.0066586,             0.00449,            0.008482,            0.008482,            0.008482
                  25,            0.032936,            0.017708,            0.012129,             0.92168,             0.91529,             0.95137,             0.63452,            0.028774,           0.0064344,           0.0042969,            0.008416,            0.008416,            0.008416
                  26,            0.032949,             0.01761,            0.011826,             0.92285,             0.92334,              0.9547,             0.64189,            0.027986,           0.0063616,           0.0042764,             0.00835,             0.00835,             0.00835
                  27,            0.032715,            0.017682,            0.011855,             0.92268,             0.93567,             0.96089,             0.64633,            0.028063,           0.0063566,           0.0035417,            0.008284,            0.008284,            0.008284
                  28,            0.032628,            0.017726,            0.011598,             0.92138,             0.92164,             0.95463,             0.64047,            0.028608,           0.0064042,           0.0038903,            0.008218,            0.008218,            0.008218
                  29,            0.032363,            0.017521,            0.011459,             0.92685,             0.92759,             0.95743,             0.64663,            0.028318,           0.0063246,           0.0039008,            0.008152,            0.008152,            0.008152
                  30,            0.032412,            0.017525,            0.011403,              0.9177,             0.92932,             0.95673,             0.64939,            0.027553,           0.0063186,           0.0037777,            0.008086,            0.008086,            0.008086
                  31,            0.032144,            0.017465,            0.011048,             0.92117,              0.9395,             0.95856,             0.65257,            0.027775,           0.0063172,           0.0033354,             0.00802,             0.00802,             0.00802
                  32,            0.031953,            0.017305,            0.010856,             0.92856,             0.91993,             0.95659,             0.64629,            0.027572,           0.0064201,            0.003256,            0.007954,            0.007954,            0.007954
                  33,            0.031866,            0.017377,            0.010793,             0.93304,             0.93081,              0.9604,             0.65078,            0.028066,            0.006342,           0.0033912,            0.007888,            0.007888,            0.007888
                  34,            0.031649,            0.017164,            0.010773,             0.92862,             0.92963,             0.95969,             0.64834,            0.027547,           0.0063505,           0.0033892,            0.007822,            0.007822,            0.007822
                  35,            0.031489,            0.017289,            0.010654,             0.93614,             0.93569,             0.96357,             0.66789,            0.026782,           0.0061033,           0.0030081,            0.007756,            0.007756,            0.007756
                  36,             0.03146,            0.017171,            0.010144,             0.93141,             0.93531,              0.9631,             0.66346,            0.026964,           0.0061407,           0.0029183,             0.00769,             0.00769,             0.00769
                  37,            0.031287,            0.017173,            0.010113,             0.92823,              0.9404,             0.96112,              0.6562,            0.026952,           0.0062865,           0.0029461,            0.007624,            0.007624,            0.007624
                  38,            0.031132,            0.016982,            0.010043,             0.92302,             0.94926,             0.96371,             0.66282,            0.026692,           0.0060701,              0.0028,            0.007558,            0.007558,            0.007558
                  39,            0.030993,            0.017067,            0.010249,             0.93778,             0.93752,             0.96778,              0.6708,            0.025971,           0.0061611,           0.0027168,            0.007492,            0.007492,            0.007492
                  40,            0.030991,            0.017018,           0.0098429,             0.93598,             0.94085,             0.96467,             0.67311,            0.026139,           0.0060828,             0.00275,            0.007426,            0.007426,            0.007426
                  41,            0.031074,            0.016882,           0.0097094,             0.93023,             0.95212,             0.96521,             0.67699,            0.025991,           0.0060003,           0.0024658,             0.00736,             0.00736,             0.00736
                  42,            0.030713,            0.016792,           0.0097691,             0.94407,              0.9431,             0.96924,              0.6767,            0.025935,           0.0059494,           0.0025204,            0.007294,            0.007294,            0.007294
                  43,            0.030768,             0.01689,           0.0097079,             0.93114,             0.94925,             0.96809,             0.67856,            0.025766,           0.0060249,           0.0025639,            0.007228,            0.007228,            0.007228
                  44,            0.030469,            0.016823,           0.0095659,             0.93621,             0.94332,             0.96993,             0.68218,              0.0257,           0.0060037,            0.002512,            0.007162,            0.007162,            0.007162
                  45,            0.030424,            0.016701,           0.0091105,              0.9358,             0.95049,             0.96799,             0.68622,            0.025781,           0.0059676,           0.0024399,            0.007096,            0.007096,            0.007096
                  46,             0.03036,            0.016673,           0.0093452,             0.93143,             0.95391,             0.96908,             0.68759,            0.025638,           0.0059484,            0.002463,             0.00703,             0.00703,             0.00703
                  47,            0.030307,            0.016809,           0.0090897,             0.93742,             0.95113,             0.97074,             0.68144,            0.025712,            0.005932,           0.0024644,            0.006964,            0.006964,            0.006964
                  48,            0.030239,            0.016657,           0.0091907,             0.93364,             0.95338,             0.97037,             0.68216,            0.025514,           0.0059719,           0.0024308,            0.006898,            0.006898,            0.006898
                  49,            0.030155,            0.016588,             0.00901,             0.93453,             0.95622,             0.96931,             0.69165,            0.025215,           0.0058533,           0.0022005,            0.006832,            0.006832,            0.006832
                  50,            0.030005,              0.0167,           0.0091831,              0.9439,             0.94793,             0.97309,             0.69293,            0.024883,           0.0058352,           0.0022632,            0.006766,            0.006766,            0.006766
                  51,            0.029997,            0.016545,           0.0090422,             0.93951,               0.946,             0.96956,             0.69195,            0.024694,           0.0058907,           0.0022475,              0.0067,              0.0067,              0.0067
                  52,            0.029823,            0.016571,           0.0088383,             0.93703,              0.9498,             0.96742,             0.69781,            0.024717,           0.0058158,           0.0021245,            0.006634,            0.006634,            0.006634
                  53,            0.029625,            0.016503,            0.008619,             0.93521,             0.95205,             0.97099,             0.69774,            0.024954,           0.0057958,           0.0022111,            0.006568,            0.006568,            0.006568
