class,filename
badrinath temple,105
basantapur tower,533
bhagavati temple,225
bhairavnath temple,182
bhaktapur tower,75
bhimeleshvara,317
bhimsen temple,61
bhupatindra malla column,605
bhuvana lakshmeshvara,351
chasin dega,193
chayasilin mandap,680
dattatreya temple,165
degu tale,34
degu tale temple_KDS,128
degutale temple,62
fasidega temple,98
gaddi durbar,738
garud,295
golden gate,334
gopinath krishna temple,428
hanuman idol,77
indrapura,324
jagannatha temple,540
kala-bhairava,525
kasthamandap,428
kavindrapura sattal,159
kedamatha tirtha,128
king statue,13
kirtipur tower,47
kotilingeshvara,11
kritipur tower,16
kumari ghar,413
lalitpur tower,427
mahadev temple,286
narayan temple,597
national gallery,253
nyatapola temple,365
palace of the 55 windows,719
panchamukhi hanuman,127
pratap malla column,247
shiva temple,114
shveta bhairava,183
siddhi lakshmi temple,583
simha sattal,174
taleju bell_BDS,434
taleju bell_KDS,87
taleju temple,672
til mahadev narayan temple,25
trailokya mohan,702
vastala temple,626
vishnu temple,278
