class,filename
badrinath temple,80
basantapur tower,470
bhagavati temple,92
bhairavnath temple,72
bhaktapur tower,55
bhimeleshvara,297
bhimsen temple,56
bhupatindra malla column,380
bhuvana lakshmeshvara,296
chasin dega,139
chayasilin mandap,363
dattatreya temple,96
degu tale,34
degu tale temple_KDS,80
degutale temple,62
fasidega temple,69
gaddi durbar,671
garud,226
golden gate,147
gopinath krishna temple,338
hanuman idol,52
indrapura,229
jagannatha temple,384
kala-bhairava,310
kasthamandap,414
kavindrapura sattal,158
kedamatha tirtha,115
king statue,13
kirtipur tower,28
kotilingeshvara,10
kritipur tower,16
kumari ghar,374
lalitpur tower,388
mahadev temple,210
narayan temple,382
national gallery,178
nyatapola temple,160
palace of the 55 windows,380
panchamukhi hanuman,56
pratap malla column,180
shiva temple,110
shveta bhairava,148
siddhi lakshmi temple,279
simha sattal,174
taleju bell_BDS,265
taleju bell_KDS,70
taleju temple,484
til mahadev narayan temple,21
trailokya mohan,643
vastala temple,360
vishnu temple,230
